,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,5551.38,888.22,0.0,0.0,6439.6,6439.6
3,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
4,,,0.0,0.0,,
5,490.0,78.4,0.0,0.0,568.4,568.4
6,0.0,0.0,0.0,0.0,0.0,0.0
7,4543.1,726.9,,0.0,5213.21,5213.21
8,1717.25,0.0,0.0,0.0,1717.25,1717.25
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,2265.8399999999997,37.11,0.0,0.0,2302.95,2302.95
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,2623.03,401.28,0.0,0.0,3024.3100000000004,3024.31
18,428.0,68.48,0.0,0.0,496.48,496.48
19,5000.0,0.0,0.0,0.0,5000.0,5000.0
20,,0.0,0.0,0.0,,
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,2223.0,355.68,0.0,0.0,2578.68,2578.68
24,1960.0,313.6,0.0,0.0,2273.6,2273.6
25,0.0,0.0,0.0,0.0,0.0,0.0
26,2231.7,357.07,0.0,0.0,2588.77,2588.77
27,107.82,17.25,0.0,0.0,125.07,125.07
28,1452.0,232.32,0.0,0.0,1684.32,1684.32
29,750.98,44.32,0.0,0.0,795.3000000000001,795.3
30,349.0,0.0,0.0,0.0,349.0,349.0
31,,,0.0,0.0,,
32,604.73,96.76,0.0,0.0,701.49,701.49
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,406.55,65.05,0.0,0.0,471.6,471.6
37,6847.94,,0.0,0.0,7943.61,7943.61
38,335.0,53.6,0.0,0.0,388.6,388.6
39,0.0,0.0,0.0,0.0,0.0,0.0
40,3900.0,624.0,0.0,0.0,4524.0,4524.0
41,,,0.0,0.0,,
42,1703.31,272.52,0.0,0.0,1975.83,1975.83
43,2273.63,267.69,0.0,0.0,2541.32,2541.32
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,4396.55,703.45,0.0,0.0,5100.0,5100.0
47,560.35,89.66,0.0,0.0,650.01,650.01
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,,,0.0,0.0,,
52,140.09,22.41,0.0,,158.6,158.6
53,377.0,60.32,0.0,0.0,437.32,437.32
54,571.0,0.0,0.0,0.0,571.0,571.0
55,3072.96,491.67,0.0,0.0,3564.63,3564.63
56,2822.38,451.58,0.0,0.0,3273.96,3273.96
57,525.0,84.0,0.0,0.0,609.0,609.0
58,2868.14,458.9,0.0,0.0,3327.04,3327.04
59,0.0,0.0,0.0,0.0,0.0,0.0
60,,,0.0,0.0,,
61,,,0.0,0.0,,
62,132.0,21.12,0.0,0.0,153.12,153.12
63,522.47,83.6,0.0,0.0,606.07,606.07
64,273.0,43.68,0.0,0.0,316.68,316.68
65,5732.759999999999,917.24,0.0,0.0,6649.999999999999,6650.0
66,0.0,0.0,0.0,0.0,0.0,0.0
67,,,0.0,0.0,,
68,1500.0,240.0,0.0,0.0,1740.0,1740.0
69,,0.0,0.0,0.0,,
70,1651.34,16.41,0.0,0.0,1667.75,1667.75
71,56.03,8.96,0.0,0.0,64.99000000000001,64.99
72,5600.0,896.0,0.0,0.0,6496.0,6496.0
73,454.61,72.74,0.0,0.0,527.35,527.35
74,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0
77,1992.01,318.73,0.0,0.0,2310.74,2310.74
78,537.1500000000001,85.94,0.0,0.0,623.0900000000001,623.09
79,6200.0,,0.0,0.0,7192.0,7192.0
80,5732.76,917.24,0.0,0.0,6650.0,6650.0
81,,,0.0,0.0,,
82,770.0,123.2,0.0,0.0,893.2,893.2
83,193.01,30.88,0.0,0.0,223.89,223.89
84,610.0,97.6,0.0,0.0,707.6,707.6
85,1240.6,198.5,0.0,0.0,1439.1,1439.1
86,560.35,89.66,0.0,0.0,650.01,650.01
87,,,,,,
88,1058.32,169.33,0.0,0.0,1227.6499999999999,1227.65
89,,,0.0,0.0,,
90,,,,,,
91,220.0,0.0,0.0,0.0,220.0,220.0
92,948.0,0.0,0.0,0.0,948.0,948.0
93,3750.0,600.0,0.0,0.0,4350.0,4350.0
94,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0
